id,resource_type,locator,translatable_string
dadf7af4-775a-4a5d-844c-12904f43cc24,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
eb25dd02-48fc-4b2f-af5e-f89849f469ee,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
e6f610a6-9c1e-451d-af2e-95ea31e77677,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_005""].condition.eq[1].scalar","""Profanity detected"""
d02b09bd-658b-405e-b8c2-a51059e5e0ec,ACTION_TITLE,"workspace.actions[action=""fallback""].title","""Fallback"""
4d9f5c92-6484-49fb-b514-8964148d1d25,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""run_always""].steps[step=""profanity_detected""].output.generic[0].values[0].text_expression","""Use o idioma apropriado ao interagir com o assistente."""
0ff3516b-1525-4074-a225-28aa29c0cfb7,ACTION_TITLE,"workspace.actions[action=""run_always""].title","""Trigger word detected"""
08affcc6-eff7-4c55-bced-e216268b9158,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_FAILURE_GENERIC_VALUES_TEXT_EXPRESSION,workspace.system_settings.topic_switch.messages.confirmation_failure.generic[0].values[0].text_expression.concat,"""Desculpe, não entendi, confirme, por favor."""
d636c030-4247-4a34-85db-a9473084b449,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_VALUES_TEXT_EXPRESSION,workspace.system_settings.topic_switch.messages.confirmation_request.generic[0].values[0].text_expression.concat,"""Deseja continuar com o tópico anterior: ${sys_var(digressed_from)}?"""
0da715c0-7247-4ac2-9d53-a875de1368fd,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_OPTIONS_LABEL,workspace.system_settings.topic_switch.messages.confirmation_request.generic[1].options[0].label,"""Sim"""
b2ef2f71-aae1-436b-8ac0-ac89cd06cc30,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_OPTIONS_LABEL,workspace.system_settings.topic_switch.messages.confirmation_request.generic[1].options[1].label,"""Não"""
2e13ac24-df68-43a8-aa81-b2b4a1cdac2e,SYS_SETTINGS_DISAMBIGUATION_NONE_OF_ABOVE_PROMPT,workspace.system_settings.disambiguation.none_of_the_above_prompt,"""Nenhum dos itens acima"""
412f5e98-c615-479c-9eb9-d4b5f386dab1,SYS_SETTINGS_DISAMBIGUATION_PROMPT,workspace.system_settings.disambiguation.prompt,"""Você quis dizer:"""
d2beffde-0ee6-4ff8-bf6b-c0735a57e5b5,SYS_SETTINGS_DISAMBIGUATION_SINGLE_ANSWER_CLARIFICATION_PROMPT,workspace.system_settings.disambiguation.single_answer_clarification_prompt,"""Outra coisa"""
